Error Log - 06JUL2026:14:16:08
Input Directory: E:\Data\04_ProjectData\MASHPDB\IPSEN\Resolve-IT_20250820\SDTMs
Output Directory: E:\out\testIpsen
----------------------------------------
Converted to XPT: ae  -> ae  (E:\out\testIpsen\DAC_XPT\ae.xpt )
Converted to XPT: ce  -> ce  (E:\out\testIpsen\DAC_XPT\ce.xpt )
Converted to XPT: cm  -> cm  (E:\out\testIpsen\DAC_XPT\cm.xpt )
Converted to XPT: co  -> co  (E:\out\testIpsen\DAC_XPT\co.xpt )
Converted to XPT: da  -> da  (E:\out\testIpsen\DAC_XPT\da.xpt )
Converted to XPT: dm  -> dm  (E:\out\testIpsen\DAC_XPT\dm.xpt )
Converted to XPT: ds  -> ds  (E:\out\testIpsen\DAC_XPT\ds.xpt )
Converted to XPT: dv  -> dv  (E:\out\testIpsen\DAC_XPT\dv.xpt )
Converted to XPT: ec  -> ec  (E:\out\testIpsen\DAC_XPT\ec.xpt )
Converted to XPT: eg  -> eg  (E:\out\testIpsen\DAC_XPT\eg.xpt )
Converted to XPT: ex  -> ex  (E:\out\testIpsen\DAC_XPT\ex.xpt )
Converted to XPT: fa  -> fa  (E:\out\testIpsen\DAC_XPT\fa.xpt )
Converted to XPT: ho  -> ho  (E:\out\testIpsen\DAC_XPT\ho.xpt )
Converted to XPT: ie  -> ie  (E:\out\testIpsen\DAC_XPT\ie.xpt )
Converted to XPT: lb  -> lb  (E:\out\testIpsen\DAC_XPT\lb.xpt )
Converted to XPT: mh  -> mh  (E:\out\testIpsen\DAC_XPT\mh.xpt )
Converted to XPT: mi  -> mi  (E:\out\testIpsen\DAC_XPT\mi.xpt )
Converted to XPT: ml  -> ml  (E:\out\testIpsen\DAC_XPT\ml.xpt )
Converted to XPT: mo  -> mo  (E:\out\testIpsen\DAC_XPT\mo.xpt )
Converted to XPT: pc  -> pc  (E:\out\testIpsen\DAC_XPT\pc.xpt )
Converted to XPT: pe  -> pe  (E:\out\testIpsen\DAC_XPT\pe.xpt )
Converted to XPT: pr  -> pr  (E:\out\testIpsen\DAC_XPT\pr.xpt )
Converted to XPT: qs  -> qs  (E:\out\testIpsen\DAC_XPT\qs.xpt )
Converted to XPT: re  -> re  (E:\out\testIpsen\DAC_XPT\re.xpt )
Converted to XPT: rp  -> rp  (E:\out\testIpsen\DAC_XPT\rp.xpt )
Converted to XPT: sc  -> sc  (E:\out\testIpsen\DAC_XPT\sc.xpt )
Converted to XPT: se  -> se  (E:\out\testIpsen\DAC_XPT\se.xpt )
Converted to XPT: su  -> su  (E:\out\testIpsen\DAC_XPT\su.xpt )
Converted to XPT: suppae  -> suppae  (E:\out\testIpsen\DAC_XPT\suppae.xpt )
Converted to XPT: suppcm  -> suppcm  (E:\out\testIpsen\DAC_XPT\suppcm.xpt )
Converted to XPT: suppdm  -> suppdm  (E:\out\testIpsen\DAC_XPT\suppdm.xpt )
Converted to XPT: suppds  -> suppds  (E:\out\testIpsen\DAC_XPT\suppds.xpt )
Converted to XPT: suppdv  -> suppdv  (E:\out\testIpsen\DAC_XPT\suppdv.xpt )
Converted to XPT: suppeg  -> suppeg  (E:\out\testIpsen\DAC_XPT\suppeg.xpt )
Converted to XPT: suppex  -> suppex  (E:\out\testIpsen\DAC_XPT\suppex.xpt )
Converted to XPT: supplb  -> supplb  (E:\out\testIpsen\DAC_XPT\supplb.xpt )
Converted to XPT: suppmi  -> suppmi  (E:\out\testIpsen\DAC_XPT\suppmi.xpt )
Converted to XPT: suppmo  -> suppmo  (E:\out\testIpsen\DAC_XPT\suppmo.xpt )
Converted to XPT: sv  -> sv  (E:\out\testIpsen\DAC_XPT\sv.xpt )
Converted to XPT: ta  -> ta  (E:\out\testIpsen\DAC_XPT\ta.xpt )
Converted to XPT: te  -> te  (E:\out\testIpsen\DAC_XPT\te.xpt )
Converted to XPT: ts  -> ts  (E:\out\testIpsen\DAC_XPT\ts.xpt )
Converted to XPT: tv  -> tv  (E:\out\testIpsen\DAC_XPT\tv.xpt )
Converted to XPT: ve  -> ve  (E:\out\testIpsen\DAC_XPT\ve.xpt )
Converted to XPT: vs  -> vs  (E:\out\testIpsen\DAC_XPT\vs.xpt )
Converted to XPT: wr  -> wr  (E:\out\testIpsen\DAC_XPT\wr.xpt )
----------------------------------------
Total SAS7BDAT files processed: 46
----------------------------------------
Process completed: 06JUL2026:14:16:12
