Error Log - 26MAR2026:16:21:14
Input Directory: C:\Users\rooneyz\Documents\TestData\HarmTestData
Output Directory: E:\output
----------------------------------------
Converted to XPT: ae  -> ae  (E:\output\DAC_XPT\ae.xpt )
Converted to XPT: ce  -> ce  (E:\output\DAC_XPT\ce.xpt )
Converted to XPT: cm  -> cm  (E:\output\DAC_XPT\cm.xpt )
Converted to XPT: co  -> co  (E:\output\DAC_XPT\co.xpt )
Converted to XPT: da  -> da  (E:\output\DAC_XPT\da.xpt )
Converted to XPT: dm  -> dm  (E:\output\DAC_XPT\dm.xpt )
Converted to XPT: ds  -> ds  (E:\output\DAC_XPT\ds.xpt )
Converted to XPT: dv  -> dv  (E:\output\DAC_XPT\dv.xpt )
Converted to XPT: ec  -> ec  (E:\output\DAC_XPT\ec.xpt )
Converted to XPT: eg  -> eg  (E:\output\DAC_XPT\eg.xpt )
Converted to XPT: ex  -> ex  (E:\output\DAC_XPT\ex.xpt )
Converted to XPT: fa  -> fa  (E:\output\DAC_XPT\fa.xpt )
Converted to XPT: ho  -> ho  (E:\output\DAC_XPT\ho.xpt )
Converted to XPT: ie  -> ie  (E:\output\DAC_XPT\ie.xpt )
Converted to XPT: lb  -> lb  (E:\output\DAC_XPT\lb.xpt )
Converted to XPT: mh  -> mh  (E:\output\DAC_XPT\mh.xpt )
Converted to XPT: mi  -> mi  (E:\output\DAC_XPT\mi.xpt )
Converted to XPT: ml  -> ml  (E:\output\DAC_XPT\ml.xpt )
Converted to XPT: mo  -> mo  (E:\output\DAC_XPT\mo.xpt )
Converted to XPT: pc  -> pc  (E:\output\DAC_XPT\pc.xpt )
Converted to XPT: pe  -> pe  (E:\output\DAC_XPT\pe.xpt )
Converted to XPT: pr  -> pr  (E:\output\DAC_XPT\pr.xpt )
Converted to XPT: qs  -> qs  (E:\output\DAC_XPT\qs.xpt )
Converted to XPT: rp  -> rp  (E:\output\DAC_XPT\rp.xpt )
Converted to XPT: sc  -> sc  (E:\output\DAC_XPT\sc.xpt )
Converted to XPT: se  -> se  (E:\output\DAC_XPT\se.xpt )
Converted to XPT: su  -> su  (E:\output\DAC_XPT\su.xpt )
Converted to XPT: suppae  -> suppae  (E:\output\DAC_XPT\suppae.xpt )
Converted to XPT: suppcm  -> suppcm  (E:\output\DAC_XPT\suppcm.xpt )
Converted to XPT: suppdm  -> suppdm  (E:\output\DAC_XPT\suppdm.xpt )
Converted to XPT: suppds  -> suppds  (E:\output\DAC_XPT\suppds.xpt )
Converted to XPT: suppdv  -> suppdv  (E:\output\DAC_XPT\suppdv.xpt )
Converted to XPT: suppeg  -> suppeg  (E:\output\DAC_XPT\suppeg.xpt )
Converted to XPT: suppex  -> suppex  (E:\output\DAC_XPT\suppex.xpt )
Converted to XPT: suppfa  -> suppfa  (E:\output\DAC_XPT\suppfa.xpt )
Converted to XPT: supplb  -> supplb  (E:\output\DAC_XPT\supplb.xpt )
Converted to XPT: suppmi  -> suppmi  (E:\output\DAC_XPT\suppmi.xpt )
Converted to XPT: suppmo  -> suppmo  (E:\output\DAC_XPT\suppmo.xpt )
Converted to XPT: supppe  -> supppe  (E:\output\DAC_XPT\supppe.xpt )
Converted to XPT: supppr  -> supppr  (E:\output\DAC_XPT\supppr.xpt )
Converted to XPT: suppqs  -> suppqs  (E:\output\DAC_XPT\suppqs.xpt )
Converted to XPT: sv  -> sv  (E:\output\DAC_XPT\sv.xpt )
Converted to XPT: ta  -> ta  (E:\output\DAC_XPT\ta.xpt )
Converted to XPT: te  -> te  (E:\output\DAC_XPT\te.xpt )
Converted to XPT: ti  -> ti  (E:\output\DAC_XPT\ti.xpt )
Converted to XPT: ts  -> ts  (E:\output\DAC_XPT\ts.xpt )
Converted to XPT: tv  -> tv  (E:\output\DAC_XPT\tv.xpt )
Converted to XPT: ve  -> ve  (E:\output\DAC_XPT\ve.xpt )
Converted to XPT: vs  -> vs  (E:\output\DAC_XPT\vs.xpt )
----------------------------------------
Total SAS7BDAT files processed: 49
----------------------------------------
Process completed: 26MAR2026:16:21:15
